Wall time,Step,Value
1713463356.3898787,2048,21.755319595336914
1713463359.7759323,4096,26.440000534057617
1713463362.529016,6144,35.90999984741211
1713463366.8309844,8192,45.34000015258789
1713463370.0598245,10240,56.369998931884766
1713463372.8217423,12288,68.66999816894531
1713463376.0337706,14336,84.19000244140625
1713463378.5549328,16384,102.87999725341797
1713463382.2160032,18432,121.51000213623047
1713463383.8409703,20480,134.16000366210938
1713463386.6353092,22528,157.08999633789062
1713463388.9077215,24576,175.99000549316406
1713463390.6415346,26624,193.8699951171875
1713463393.7074497,28672,211.52000427246094
1713463395.4006336,30720,230.00999450683594
1713463397.2513382,32768,246.77000427246094
1713463399.3508482,34816,264.70001220703125
1713463401.2187893,36864,282.1700134277344
1713463403.5425572,38912,300.25
1713463405.2169635,40960,317.1199951171875
1713463407.7341127,43008,336.1300048828125
1713463409.7553504,45056,352.79998779296875
1713463412.346485,47104,370.0899963378906
1713463414.2609184,49152,386.3299865722656
1713463416.453399,51200,400.54998779296875
1713463418.8002532,53248,415.1300048828125
1713463420.8519604,55296,428.70001220703125
1713463422.4469938,57344,439.6000061035156
1713463424.0583038,59392,451.239990234375
1713463428.7252169,61440,461.54998779296875
1713463431.2459333,63488,473.44000244140625
1713463432.9799657,65536,481.82000732421875
1713463434.623075,67584,489.04998779296875
1713463436.6444628,69632,496.1099853515625
1713463438.4051392,71680,499.70001220703125
1713463440.7617238,73728,500.0
1713463442.5746315,75776,500.0
1713463444.2720869,77824,500.0
1713463446.9713001,79872,500.0
1713463449.0117025,81920,500.0
1713463451.07525,83968,500.0
1713463452.8692296,86016,500.0
1713463456.9008515,88064,500.0
1713463459.5853837,90112,500.0
1713463462.058253,92160,500.0
1713463463.7524772,94208,500.0
1713463465.5061772,96256,500.0
1713463467.157211,98304,500.0
1713463468.9463341,100352,500.0
